seed,gain,coh,n,p_net,p_mod
47,1.2,0.12,191,0.9685863874345549,0.9851924504443886
47,1.2,0.15,196,0.9897959183673469,0.9947064971395762
48,0.8,-0.15,214,0.0,0.0010059554672186965
48,0.8,-0.12,168,0.005952380952380952,0.022709328754557185
48,0.8,-0.09,155,0.04516129032258064,0.03613425880556005
48,0.8,-0.06,183,0.08196721311475409,0.11419364444329999
48,0.8,-0.03,187,0.24064171122994651,0.23385914544422523
48,0.8,0.0,180,0.4666666666666667,0.42904608904357366
48,0.8,0.03,186,0.6182795698924731,0.6161208970678957
48,0.8,0.06,177,0.8022598870056498,0.8038637967405552
48,0.8,0.09,163,0.8895705521472392,0.9142247962232328
48,0.8,0.12,191,0.9895287958115183,0.9767279674169042
48,0.8,0.15,196,1.0,0.9960932151778152
48,1.0,-0.15,214,0.0,0.0002953232771589781
48,1.0,-0.12,168,0.011904761904761904,0.0044382210307721505
48,1.0,-0.09,155,0.0064516129032258064,0.014066087101128917
48,1.0,-0.06,183,0.0546448087431694,0.05220534860028266
48,1.0,-0.03,187,0.20320855614973263,0.184685252079674
48,1.0,0.0,180,0.45,0.4205554022246335
48,1.0,0.03,186,0.6236559139784946,0.6625852265299631
48,1.0,0.06,177,0.8587570621468926,0.8674369315149418
48,1.0,0.09,163,0.9570552147239264,0.9646244445773466
48,1.0,0.12,191,0.9947643979057592,0.995136624248587
48,1.0,0.15,196,1.0,0.9997202104852435
48,1.2,-0.15,214,0.0,0.0009349647591249941
48,1.2,-0.12,168,0.011904761904761904,0.007968120763350331
48,1.2,-0.09,155,0.025806451612903226,0.026897982103431767
48,1.2,-0.06,183,0.07650273224043716,0.07370048269598128
48,1.2,-0.03,187,0.2192513368983957,0.21481960168895986
48,1.2,0.0,180,0.5055555555555555,0.4444522648560557
48,1.2,0.03,186,0.6021505376344086,0.6596091270375363
48,1.2,0.06,177,0.8531073446327684,0.8575024048821148
48,1.2,0.09,163,0.950920245398773,0.9539102088285363
48,1.2,0.12,191,0.9895287958115183,0.990774782794903
48,1.2,0.15,196,0.9948979591836735,0.9974541645063325
49,0.8,-0.15,214,0.0,0.0005643194566201546
49,0.8,-0.12,168,0.011904761904761904,0.013553846402956168
49,0.8,-0.09,155,0.025806451612903226,0.025025691293554427
49,0.8,-0.06,183,0.09289617486338798,0.10382435921920634
49,0.8,-0.03,187,0.27807486631016043,0.2547388357810442
49,0.8,0.0,180,0.5,0.49379326830761905
49,0.8,0.03,186,0.6881720430107527,0.7041271084291736
49,0.8,0.06,177,0.8870056497175142,0.887690283492282
49,0.8,0.09,163,0.9754601226993865,0.9664027586781168
49,0.8,0.12,191,0.9947643979057592,0.9943248765707298
49,0.8,0.15,196,1.0,0.9998073422612062
49,1.0,-0.15,214,0.0,0.0005089510933016075
