bound,gain,quantile,acoh,correct,n_obs,rt_obs,p_obs,rt_pred,p_pred,n_datasets
1.5,1.2,0.75,0.15,False,415,102.0,0.0568493150684931,94.958125,0.05785958904109585,80
1.5,1.2,0.75,0.15,True,6885,98.0,0.9431506849315068,99.21124999999999,0.9421404109589041,80
2.5,0.8,0.25,0.0,False,812,188.0,0.5062344139650873,173.20875,0.5001533729113098,80
2.5,0.8,0.25,0.0,True,792,196.0,0.4937655860349127,172.76062499999998,0.4998466270886901,80
2.5,0.8,0.25,0.03,False,798,190.5,0.2183908045977011,163.5284375,0.265934809669289,80
2.5,0.8,0.25,0.03,True,2856,195.0,0.7816091954022989,171.1896875,0.734065190330711,80
2.5,0.8,0.25,0.06,False,298,154.25,0.0669362084456424,145.50687499999998,0.11602712262287358,80
2.5,0.8,0.25,0.06,True,4154,185.0,0.9330637915543576,158.9453125,0.8839728773771263,80
2.5,0.8,0.25,0.09,False,117,130.0,0.0211038961038961,124.121875,0.047589886905674894,80
2.5,0.8,0.25,0.09,True,5427,165.0,0.978896103896104,141.70499999999998,0.9524101130943251,80
2.5,0.8,0.25,0.12,False,28,109.75,0.0046388336646785,105.0484375,0.0190005320245843,80
2.5,0.8,0.25,0.12,True,6008,141.0,0.9953611663353216,124.0625,0.9809994679754157,80
2.5,0.8,0.25,0.15,False,11,77.0,0.0017101990049751,93.08,0.00757410777813676,80
2.5,0.8,0.25,0.15,True,6421,120.0,0.9982898009950248,108.96031249999999,0.9924258922218632,80
2.5,0.8,0.5,0.0,False,812,342.0,0.5062344139650873,303.65875000000005,0.5001533729113098,80
2.5,0.8,0.5,0.0,True,792,345.0,0.4937655860349127,304.609375,0.4998466270886901,80
2.5,0.8,0.5,0.03,False,798,328.5,0.2183908045977011,289.938125,0.265934809669289,80
2.5,0.8,0.5,0.03,True,2856,333.5,0.7816091954022989,296.93125000000003,0.734065190330711,80
2.5,0.8,0.5,0.06,False,298,299.0,0.0669362084456424,256.95625000000007,0.11602712262287358,80
2.5,0.8,0.5,0.06,True,4154,313.5,0.9330637915543576,273.053125,0.8839728773771263,80
2.5,0.8,0.5,0.09,False,117,256.0,0.0211038961038961,214.32750000000001,0.047589886905674894,80
