seed,gain,hit_mode,g,g_lo,g_hi,B,v,a_bias,nll,r1_g,r1_g_se,model_hit_frac,net_hit_frac,acc_model,acc_net,prof_edge,prof_better,M,n_trials,minutes
47,1.2,cross,-2.4200404671578624,-2.666736661589952,-1.7357661515488372,0.9079428559304578,54.28792713816647,-0.01886557342929135,2701.5602427787167,-3.436550156381007,0.24622445171909157,0.9972866666666667,0.9965,0.8395,0.8695,False,-0.33645766309700775,300,2000,18.236915679772697
48,1.2,cross,1.5155688325412873,0.5122879194101311,1.5155688325412873,0.7967234134029225,49.31788641499723,-0.06230506354652421,2798.7566852625587,-2.4312637207050765,0.2197927909428922,0.9940166666666667,0.99,0.858,0.8685,True,-1.8721860130508503,300,2000,14.935560548305512
49,1.2,cross,-3.229621984362039,-3.701408813172602,-3.229621984362039,0.8686859417080419,53.19495988777194,0.03592569929229744,2789.905611901046,-4.30188156861927,0.2761930789981047,0.9989616666666666,0.994,0.8275,0.851,True,-1.1588729276490994,300,2000,21.03269229332606
50,1.2,cross,-1.7296412953615317,-2.1023832383554346,-0.7519423396597016,0.884472967746749,56.831740499802066,-0.03518243859561683,2679.1042052796656,-2.163488797596602,0.21996857795021163,0.9973283333333333,0.9965,0.845,0.88,True,-1.3960195646409375,300,2000,22.977086957295736
51,1.2,cross,-0.6288279778065475,-1.441657837188347,-0.6288279778065475,0.8207392568271837,47.805173006903075,-0.06126261129395465,2917.5038530242846,-4.0261919431251725,0.2755366733624823,0.996155,0.9895,0.852,0.8635,True,-6.193027225236619,300,2000,18.629060677687328
52,1.2,cross,3.797614069834963,3.6497298346628044,3.797614069834963,0.829854098889693,52.71260182254687,0.08943132656581208,2741.376694373421,-2.195678812911331,0.22339943028225984,0.9885983333333334,0.988,0.862,0.878,True,-1.7627163347424357,300,2000,10.648451892534892
53,1.2,cross,-1.1336537243122042,-1.435859750139818,-0.36321016369617887,0.8227049483343293,49.66531951809174,-0.03597617603676198,2861.4960661139257,-1.4683612918865543,0.20246491753395443,0.9968833333333333,0.9955,0.844,0.8845,True,-1.4159119103087505,300,2000,17.910473823547363
54,1.2,cross,0.3001839088176408,-0.09604880383246192,0.5255960079991077,0.80786508116533,48.70374909017622,-0.0812836530352287,2837.4079232948034,-1.5192700645173862,0.20567784683700163,0.9950399999999999,0.997,0.86,0.8795,False,-2.274467862761412,300,2000,17.92884952624639
55,1.2,cross,-1.2484074622736618,-1.423150836197319,-0.7414160582766143,0.8982218277349608,54.87787045035523,-0.027315182880109125,2727.913895798512,-3.040231930313885,0.24362662881422603,0.99636,0.9955,0.8475,0.8705,False,0.0,300,2000,18.31603021621704
56,1.2,cross,-4.572291901671252,-5.510409861517596,-4.393987447285906,0.8289948190739254,51.166226180129456,0.02492420987329099,2771.784314176546,-2.436291581407624,0.26155878080234685,0.99932,0.9995,0.8205,0.851,False,-0.5830750911040923,300,2000,21.51246400674184
57,1.2,cross,-2.434755201678569,-2.822787291033867,-2.122955020319297,0.8138024519667629,52.11413511385176,-0.007127021431074593,2752.027871877179,-3.132392993724506,0.2596150473542682,0.9986199999999998,0.9985,0.832,0.8585,False,-0.8789393500637743,300,2000,18.242057343324024
58,1.2,cross,3.1692394214581605,3.044243240767999,3.63006260554092,0.8987256610027309,22.35375522965093,-0.5445091176998088,3752.3724798382095,-2.991156044456701,0.28622310137892143,0.7523833333333334,0.697,0.889,0.866,False,0.0,300,2000,20.159737821420034
59,1.2,cross,-2.4255265944424824,-2.7612325178993133,-2.082507234671617,0.8529077539789254,48.181103382784514,-0.0799030376491843,2824.3884046815583,-2.8278298062063145,0.24640861359157237,0.9966416666666666,0.9965,0.852,0.8725,False,-0.007371490380137402,300,2000,18.498644137382506
60,1.2,cross,-0.8553069253620614,-0.9874944591025964,-0.35937628211793454,0.788639529133079,49.015187525095826,-0.1115414864897385,2824.739381704277,-1.9421518950948888,0.23386175146862398,0.9971116666666667,0.9955,0.851,0.8815,True,0.0,300,2000,18.007725401719412
61,1.2,cross,4.0194462209648485,3.8385496741222926,4.1765442255346565,0.8391464391633277,48.94814150077184,0.20174064244225853,2831.9485296373714,-0.92755907421955,0.20939631871913236,0.9769983333333333,0.977,0.862,0.8675,False,0.0,300,2000,19.296040097872417
