seed,gain,slope_net,slope_route1,acc_net,acc_route1,wnet0,wnet1,wnet2,wnet3,wnet4,wnet5,wnet6,wnet7,w1_0,w1_1,w1_2,w1_3,w1_4,w1_5,w1_6,w1_7
59,1.0,0.0029641342573542323,0.007142089925587086,0.8875,0.899,0.13428576845995854,0.09335839330885828,0.13479834757228062,0.1066220556248974,0.1218839044209162,0.13256599873362715,0.14409195066696462,0.13239358110955357,0.09908293508174754,0.10723758146884674,0.11290669091317834,0.10974100657189048,0.14152903272872905,0.14610081972496708,0.1427399699011863,0.14066196350966365
60,1.0,0.010191404054571486,0.009360054361083935,0.8955,0.8985,0.12253087066545677,0.07556213771311371,0.1129574834328016,0.10656277752061506,0.09522871453668146,0.1552723382004886,0.17360276115916046,0.15828291667040584,0.11202051006062341,0.0912861070382111,0.10613337871559948,0.11023774822897776,0.135143700444342,0.12062532411501348,0.15671786777786387,0.16783536352050626
61,1.0,0.009107444989117605,0.008128594871430826,0.8775,0.879,0.08748756410898058,0.12460077243751255,0.1243677101185699,0.1129429509043592,0.1079583118771915,0.10189265182206565,0.1561991332384941,0.18455090539435928,0.10065950652583414,0.1029446044548928,0.12046695519388001,0.10033701559861742,0.11622618865463957,0.16100137618757668,0.16195068596794407,0.13641366732552274
42,1.2,-0.02151859515137629,-0.023554005003389163,0.8815,0.8865,0.2519189071910179,0.1561469752084782,0.13290601458102763,0.11183687245438706,0.10037550996060272,0.10133703587961485,0.0877886300550794,0.057690054569504746,0.22802554668661387,0.196167350234821,0.1300868562824306,0.1342723909081571,0.09432905887486223,0.08754558782220213,0.0704830842525886,0.05909012483524981
43,1.2,-0.03839006961717072,-0.050346863531978744,0.8505,0.8495,0.39015420875994233,0.17633425551770182,0.1258892900862278,0.06676321590845573,0.09415652677423374,0.04930496830427328,0.04571909798972823,0.05167843651388691,0.37275540569620164,0.23016818502107625,0.19860922698277803,0.09581931693189344,0.057554780956807945,0.03727526774862162,0.0007330368386113097,0.007084779682439062
44,1.2,-0.0203586008367107,-0.023491786075017545,0.884,0.8875,0.24175074976326588,0.17018002980274521,0.1336752698146292,0.1032174112573346,0.09283395609638094,0.09781030674708088,0.08635733172152434,0.07417494468983789,0.24150431130722724,0.17301204950791643,0.16482055330939538,0.10883886006901942,0.07506365055259144,0.0961510360777873,0.08110130793680731,0.05950823113084486
45,1.2,-0.033627891876647185,-0.04085730072144873,0.856,0.859,0.3468937292345817,0.17233969791070627,0.13237859684171724,0.08374849147780684,0.07874251069043932,0.0656920143702128,0.08557865527858699,0.03462630405231206,0.35076411988334877,0.22144941663222473,0.13876075284852382,0.1019272183488948,0.05834348842676627,0.052916509369846335,0.04958516916443194,0.026253325182695828
46,1.2,-0.03746265829407482,-0.04197410160031471,0.865,0.8585,0.3367491989640767,0.19244544815130543,0.14723178937423376,0.09784151381484468,0.07871757887071332,0.06576551590873049,0.06630579569121302,0.014943159098193064,0.3022981971181968,0.19908825739040384,0.19392626069388932,0.1102628291479701,0.08942804245854293,0.06543631929464777,0.022410783303757054,-0.017149310468382035
47,1.2,-0.031216684872771294,-0.0383607154023197,0.8695,0.8645,0.31532526521374554,0.18529359960099287,0.13183164041539125,0.08576010178198343,0.0937505684201531,0.07326314159979928,0.06208571246228998,0.0526899703836499,0.30318054438273573,0.2233639267910589,0.1461280778134425,0.14449627121427397,0.06136316526427115,0.07032929245205469,0.015329120434873124,0.035809601528484045
48,1.2,-0.02236952913676013,-0.028837385775082585,0.8685,0.882,0.25595216180305624,0.18983055137043883,0.13117739552055582,0.08223856490071554,0.09194276963447183,0.07664293603619259,0.09491636433364446,0.07729925629097814,0.2504943949993411,0.1822378459267312,0.17099644469942102,0.10854260966695849,0.10843011337600454,0.09884028672523403,0.05215878588072961,0.028299518618853114
