g,v,a_bias,g_se,v_se,a_bias_se,nll,n,seed,gain,n_trials,secs,g_lo,g_hi,g_mean,g_sd,g_hdi_lo,g_hdi_hi,g_rhat,g_ess,v_mean,v_sd,v_hdi_lo,v_hdi_hi,v_rhat,v_ess,a_bias_mean,a_bias_sd,a_bias_hdi_lo,a_bias_hdi_hi,a_bias_rhat,a_bias_ess,p_g_gt0,secs_b,g_mle_minus_post,g_diff_in_se
0.7470956083983521,51.79531201731543,-0.6860672851491117,0.1768217323130084,3.0118178991527955,0.099399395478591,246.01353073298003,2000,42,1.0,2000,123.15099906921388,0.4005250130648555,1.0936662037318483,0.7609339356422424,0.1734107881784439,0.4377110004425049,1.0935304164886477,1.0000189542770386,2671.820401390114,51.90373611450195,3.027148485183716,46.07273864746094,57.36512756347656,1.0003297328948977,2594.8154455560125,-0.6915507912635803,0.0994688645005226,-0.8795587420463562,-0.5056576728820801,1.000961422920227,2422.043156027433,1.0,6.195394992828369,-0.013838327243890336,-0.07826146177209621
-0.8938642336583872,38.89095204485501,-0.0892756240992458,0.2130255191295542,1.9470146871980447,0.0358371584680075,328.68138581013085,2000,43,1.0,2000,125.78992199897766,-1.3113942511523136,-0.4763342161644608,-0.8726142048835754,0.2130356431007385,-1.2681291103363037,-0.4826037585735321,0.999276638031006,3264.8233457367087,39.00952911376953,1.9372146129608152,35.54331588745117,42.69148254394531,1.0011078119277954,3075.147489967797,-0.0905587896704673,0.0377349816262722,-0.161800280213356,-0.0208599045872688,0.9995051622390748,3451.710259400685,0.0,5.031069040298462,-0.021250028774811747,-0.09975344203662412
0.2445692554244473,45.91119610233851,-0.2850642583838402,0.1860277875454609,2.488873673850968,0.0622032968603572,273.06025386838087,2000,44,1.0,2000,128.73510098457336,-0.1200452081646561,0.6091837190135507,0.2609856426715851,0.1848051398992538,-0.0796490386128425,0.6114561557769775,1.0000765323638916,3249.492095640744,45.98714828491211,2.4729526042938232,41.65205001831055,50.839481353759766,1.0013397932052612,3110.940301205212,-0.2853665053844452,0.0612715631723403,-0.3945966064929962,-0.1623317748308181,1.0009921789169312,2999.3787428462515,0.92725,5.368683099746704,-0.016416387247137787,-0.0882469627991786
-0.5649018386962753,42.484226196179605,-0.1628615603811847,0.1939948999750209,2.187277281719438,0.0431157123011943,294.2892933804867,2000,45,1.0,2000,124.27101588249208,-0.9451318426473164,-0.1846718347452343,-0.5573054552078247,0.1915125995874405,-0.9197434186935424,-0.2044995427131652,0.9997425675392152,3238.2561868967714,42.57277297973633,2.2133827209472656,38.257415771484375,46.54802703857422,1.0006972551345823,3303.602292829019,-0.1643693596124649,0.0432814955711364,-0.240357369184494,-0.080004021525383,1.00007963180542,3344.5953408882883,0.00025,5.27093505859375,-0.007596383488450598,-0.03915764532690664
-0.2649253725491629,42.44533137688952,-0.41701048091504,0.1810082795061803,2.253276014706248,0.056367266675114,299.86601550644576,2000,46,1.0,2000,121.49712586402892,-0.6197016003812763,0.0898508552829505,-0.2577363848686218,0.1868722587823867,-0.6290138959884644,0.0775236114859581,1.00007963180542,2752.9730706816385,42.54609298706055,2.2545104026794434,38.68938446044922,47.13970947265625,1.0000935792922974,2475.2231345216323,-0.4195316433906555,0.0566684044897556,-0.5247889161109924,-0.3117830157279968,1.000702738761902,2328.312039387062,0.08225,5.493288040161133,-0.007188987680541048,-0.039716347230931995
-0.2688203134802933,46.100495773256014,-0.1141338806926444,0.1823610627870089,2.460060053808926,0.0484169382801301,267.636396339865,2000,47,1.0,2000,135.50374007225037,-0.6262479965428307,0.088607369582244,-0.2623507976531982,0.1869314759969711,-0.6010808348655701,0.0931141823530197,0.9993510246276855,4100.264991222287,46.198734283447266,2.413800001144409,41.65568542480469,50.620140075683594,0.9997296929359436,4102.312696122768,-0.1142421662807464,0.0480325818061828,-0.2049271315336227,-0.0257695019245147,0.9994745254516602,3871.139417992316,0.07925,5.4253928661346436,-0.006469515827095096,-0.03547640997602244
0.608942473590208,45.20134254630123,-0.2973849223635417,0.1936808284292687,2.427629631665366,0.0712700202963256,279.5669767976027,2000,48,1.0,2000,122.85926604270936,0.2293280498688413,0.9885568973115748,0.6309508085250854,0.195076510310173,0.2674510180950165,0.9879945516586304,0.9997179508209229,2904.358919950334,45.31816101074219,2.446286678314209,41.0410270690918,50.10487365722656,1.0014429092407229,2927.932801693648,-0.3000750839710235,0.0740943700075149,-0.4433693885803222,-0.1693930923938751,1.0018528699874878,2711.8687246033483,0.9995,4.969399690628052,-0.022008334934877416,-0.11363197438467562
-0.7847047556488036,47.002919531504496,0.0203659776430561,0.1854179582384112,2.5398299115429843,0.0404146842699591,269.17213845131766,2000,49,1.0,2000,128.6890299320221,-1.1481239537960897,-0.4212855575015176,-0.7817484140396118,0.1844673901796341,-1.1581428050994873,-0.4552857279777527,0.9995522499084472,3570.1027469982896,47.092227935791016,2.5229592323303223,42.48377990722656,51.74440002441406,1.0002869367599487,3562.0219876573815,0.0201937612146139,0.0400474332273006,-0.0587237812578678,0.0906877666711807,1.001345157623291,3438.3887528028504,0.0,4.558327913284302,-0.0029563416091917816,-0.015944203232949556
0.5992663354198108,49.80742013133501,-0.4384217483693253,0.1855638842882283,2.7789694093436177,0.0798517252803492,249.73112867306105,2000,50,1.0,2000,125.4860019683838,0.2355611222148832,0.9629715486247384,0.6120439171791077,0.1864839643239975,0.2601591944694519,0.9526633620262146,0.9995620846748352,3056.881768193981,49.92449188232422,2.7333030700683594,44.368927001953125,54.67242431640625,1.0006122589111328,3017.25278830137,-0.443524420261383,0.079669289290905,-0.5958767533302307,-0.3006990253925323,0.999761700630188,2545.569568325229,0.9995,5.383558988571167,-0.012777581759296885,-0.06885812833843263
-0.8969935672376665,47.43769212585345,-0.5216534007457609,0.1831872563976371,2.6329098950790617,0.0558426106185141,270.5708859818666,2000,51,1.0,2000,132.8067271709442,-1.2560405897770353,-0.5379465446982978,-0.8902356028556824,0.1873446255922317,-1.257110834121704,-0.5587872862815857,1.001590371131897,2358.8976171238355,47.56105041503906,2.646618127822876,42.59585189819336,52.33272171020508,1.0005309581756592,2392.2566780504326,-0.5245814323425293,0.0562458261847496,-0.6379949450492859,-0.4281111657619476,1.001526951789856,2262.346244387636,0.0,6.877356052398682,-0.006757964381984172,-0.03689101804830208
