gain,variant,which,v0_nat,v1_nat,g_nat,a_nat,x0_nat,sigma,evidence_var_frac,t_nat,slope_net,slope_sim,acc_net,acc_sim,frac_bounded,n_trials,wnet0,wnet1,wnet2,wnet3,wnet4,wnet5,wnet6,wnet7,wsim0,wsim1,wsim2,wsim3,wsim4,wsim5,wsim6,wsim7,slope_sim_sd,slope_sim_lo,slope_sim_hi
1.0,a_fitted_matched,posterior_mean,-0.08391011448718777,27.783070208111297,9.95736153225,0.32343184641336675,-0.0033006095566938958,0.47759921462577654,0.7718989901888414,0.004999999999999999,0.002138929304013984,-0.05650137523536096,0.887275,0.816625,0.996925,40000,0.136017834774582,0.11643009220159471,0.1174545579453759,0.1081317927113238,0.11622159626677765,0.12329163653909803,0.14441154977071385,0.1380409396824332,0.47120799423589577,0.24473141309751933,0.11443582685836574,0.07857557771141445,0.03796423932023563,0.030851229459732666,-0.007356116487509136,0.014877602627595216,,,
1.0,a_fitted_matched,draws_mean(n=20),,,,,,,,,0.002138929304013984,-0.05658904985031167,0.887275,0.8163162500000001,0.996965,40000,0.136017834774582,0.11643009220159471,0.1174545579453759,0.1081317927113238,0.11622159626677765,0.12329163653909803,0.14441154977071385,0.1380409396824332,0.47286741102244295,0.24438256336450376,0.11471395056109035,0.07849577845526104,0.03744769163396071,0.030682106374816165,-0.006518780230191573,0.014891718154931191,0.00017079596059752753,-0.056887318430984636,-0.056311623445774533
1.0,b_leakonly_sigma1,posterior_mean,-0.08391011448718777,27.783070208111297,9.95736153225,,-0.0033006095566938958,1.0,0.7718989901888414,0.004999999999999999,0.002138929304013984,0.06775098141729688,0.887275,0.76315,0.0,40000,0.136017834774582,0.11643009220159471,0.1174545579453759,0.1081317927113238,0.11622159626677765,0.12329163653909803,0.14441154977071385,0.1380409396824332,0.007666891277053944,0.0010855628190595563,0.004278444958192373,0.011656372894520914,0.03702740595852117,0.09281179250140113,0.22955364417103646,0.6159198850769723,,,
1.0,b_leakonly_sigma1,draws_mean(n=20),,,,,,,,,0.002138929304013984,0.06781180640800484,0.887275,0.7628450000000002,0.0,40000,0.136017834774582,0.11643009220159471,0.1174545579453759,0.1081317927113238,0.11622159626677765,0.12329163653909803,0.14441154977071385,0.1380409396824332,0.0074477250487666015,0.0010522618113366663,0.004575626235005982,0.011280094882977654,0.03667339144621257,0.09277069574355612,0.22984514654117855,0.6163404121250969,0.00017553253419300523,0.06754397784217794,0.06805688419466906
1.0,b_leakonly_matched,posterior_mean,-0.08391011448718777,27.783070208111297,9.95736153225,,-0.0033006095566938958,0.47759921462577654,0.7718989901888414,0.004999999999999999,0.002138929304013984,0.06709536148520387,0.887275,0.8155,0.0,40000,0.136017834774582,0.11643009220159471,0.1174545579453759,0.1081317927113238,0.11622159626677765,0.12329163653909803,0.14441154977071385,0.1380409396824332,0.011186226405824541,-0.00591301771365375,0.004407265284612559,0.01985068799947196,0.02762717198354013,0.0922732892732266,0.22891104154209016,0.6098312996241813,,,
1.0,b_leakonly_matched,draws_mean(n=20),,,,,,,,,0.002138929304013984,0.06713541767396249,0.887275,0.81528625,0.0,40000,0.136017834774582,0.11643009220159471,0.1174545579453759,0.1081317927113238,0.11622159626677765,0.12329163653909803,0.14441154977071385,0.1380409396824332,0.010758404403380776,-0.0051790994295407115,0.004919138483079405,0.020024887251557513,0.027786271047117245,0.09129275999705982,0.22918495227148528,0.6108544869419834,0.00010947674872690873,0.06698394765443706,0.06739359611218652
1.2,a_fitted_sigma1,posterior_mean,-0.07061451952015038,27.834155669244204,9.197487194,0.29105528716475587,-0.0024202540140862918,1.0,0.7747402218197194,0.003999999999999992,-0.026052082773491355,-0.07563101174636593,0.86895,0.691275,1.0,40000,0.28655797039382824,0.16874384457584451,0.12879216484804154,0.10279506869715004,0.0903970498002763,0.08288645949215144,0.08371344840544825,0.05611399365714974,0.8078847260084574,0.14448091507195684,0.0026210857709162588,0.018835293103977857,-0.007565896181465847,0.01766759716332779,0.000378538700231927,0.0005659474758989175,,,
1.2,a_fitted_sigma1,draws_mean(n=20),,,,,,,,,-0.026052082773491355,-0.07559502343157422,0.86895,0.69110125,1.0,40000,0.28655797039382824,0.16874384457584451,0.12879216484804154,0.10279506869715004,0.0903970498002763,0.08288645949215144,0.08371344840544825,0.05611399365714974,0.8063845270069901,0.14454734005236416,0.0034339818659066164,0.018294501414083196,-0.008057625819936461,0.017888812643290886,0.000184890540767652,-7.005667763695959e-05,0.00011786949738634886,-0.07578638728381326,-0.07536391306726332
1.2,a_fitted_matched,posterior_mean,-0.07061451952015038,27.834155669244204,9.197487194,0.29105528716475587,-0.0024202540140862918,0.47461540027719357,0.7747402218197194,0.003999999999999992,-0.026052082773491355,-0.06427779511151555,0.86895,0.79315,0.999525,40000,0.28655797039382824,0.16874384457584451,0.12879216484804154,0.10279506869715004,0.0903970498002763,0.08288645949215144,0.08371344840544825,0.05611399365714974,0.577415849685157,0.22623702242142268,0.08154990524905012,0.05196225730726718,0.015625395067100416,0.02438535833836393,-0.014848142372300505,0.007976069338518717,,,
1.2,a_fitted_matched,draws_mean(n=20),,,,,,,,,-0.026052082773491355,-0.06428385241625137,0.86895,0.7930699999999999,0.9995424999999999,40000,0.28655797039382824,0.16874384457584451,0.12879216484804154,0.10279506869715004,0.0903970498002763,0.08288645949215144,0.08371344840544825,0.05611399365714974,0.5768434356560577,0.22647880599645873,0.08130540345135591,0.05306067568873207,0.016704279228127755,0.023740966514285915,-0.014463404068457161,0.007403029174811414,0.0001839014995874647,-0.06453846084424968,-0.06394716601427597
1.2,b_leakonly_sigma1,posterior_mean,-0.07061451952015038,27.834155669244204,9.197487194,,-0.0024202540140862918,1.0,0.7747402218197194,0.003999999999999992,-0.026052082773491355,0.06600413470450936,0.86895,0.7697,0.0,40000,0.28655797039382824,0.16874384457584451,0.12879216484804154,0.10279506869715004,0.0903970498002763,0.08288645949215144,0.08371344840544825,0.05611399365714974,0.010594661891410265,0.0023377697438942595,0.006236870370873046,0.012177141435841081,0.04136770856380264,0.09969593365981322,0.23624917894951217,0.5913407350565412,,,
1.2,b_leakonly_sigma1,draws_mean(n=20),,,,,,,,,-0.026052082773491355,0.06589311078365787,0.86895,0.7697087499999999,0.0,40000,0.28655797039382824,0.16874384457584451,0.12879216484804154,0.10279506869715004,0.0903970498002763,0.08288645949215144,0.08371344840544825,0.05611399365714974,0.010575235710164974,0.0029974819907864513,0.005813660139258965,0.013053349131070462,0.041699499513624005,0.09929590229500078,0.235505803669316,0.5910590672222842,0.0005918189442241049,0.06494894709984111,0.06686152012040314
