gain,variant,draw,g_nat,a_nat,v1_nat,slope_sim,acc_sim,frac_bounded
0.8,b_leakonly_sigma1,draw16,9.962536,,26.410141352215444,0.06809801762651982,0.758575,0.0
0.8,b_leakonly_sigma1,draw17,9.552814,,28.377954007752038,0.06714276866779026,0.766475,0.0
0.8,b_leakonly_sigma1,draw18,9.835619,,25.731273070963475,0.06691213933306824,0.759,0.0
0.8,b_leakonly_sigma1,draw19,9.563514,,27.170322860082152,0.06656675924298129,0.766325,0.0
0.8,b_leakonly_matched,draw0,9.810351,,26.90443697327636,0.06720443725461815,0.800225,0.0
0.8,b_leakonly_matched,draw1,9.909234999999999,,25.849226027687756,0.06759465943020289,0.803375,0.0
0.8,b_leakonly_matched,draw2,9.817245,,26.67739808638691,0.06738200244389406,0.809375,0.0
0.8,b_leakonly_matched,draw3,9.9519813,,24.20878500464243,0.0672626115011896,0.790225,0.0
0.8,b_leakonly_matched,draw4,9.738103,,25.780278887863105,0.0673214085699761,0.804175,0.0
0.8,b_leakonly_matched,draw5,9.813411,,25.387482892860607,0.06682153270745332,0.800825,0.0
0.8,b_leakonly_matched,draw6,9.9953735,,26.681831599666467,0.06794431732764826,0.800975,0.0
0.8,b_leakonly_matched,draw7,9.8712325,,27.685468958895388,0.06774053815442482,0.814775,0.0
0.8,b_leakonly_matched,draw8,9.496652,,25.670484607502058,0.06675225892173522,0.804075,0.0
0.8,b_leakonly_matched,draw9,9.996463,,26.63188500516294,0.06766857973705832,0.79745,0.0
0.8,b_leakonly_matched,draw10,9.612684,,25.0487106169489,0.06755227361140273,0.79205,0.0
0.8,b_leakonly_matched,draw11,9.9952185,,26.152570674517065,0.06769124699997679,0.80465,0.0
0.8,b_leakonly_matched,draw12,9.9716115,,26.419163330379902,0.06784425664711878,0.806425,0.0
0.8,b_leakonly_matched,draw13,9.747710000000001,,26.674438194496993,0.06727736738014682,0.80955,0.0
0.8,b_leakonly_matched,draw14,9.9797785,,29.917113601897498,0.06660603198044619,0.826825,0.0
0.8,b_leakonly_matched,draw15,9.822073,,25.256052308748693,0.06754103452727693,0.799475,0.0
0.8,b_leakonly_matched,draw16,9.962536,,26.410141352215444,0.06766865920340799,0.806975,0.0
0.8,b_leakonly_matched,draw17,9.552814,,28.377954007752038,0.06591687353242885,0.8212,0.0
0.8,b_leakonly_matched,draw18,9.835619,,25.731273070963475,0.06709635918939871,0.802925,0.0
0.8,b_leakonly_matched,draw19,9.563514,,27.170322860082152,0.06638862165477895,0.814025,0.0
1.0,a_fitted_sigma1,draw0,9.806969,0.3229752759742222,29.189675898063005,-0.07366437462844741,0.699275,1.0
1.0,a_fitted_sigma1,draw1,9.9631846,0.3204176574254546,27.803001332690865,-0.0722433703843477,0.711925,1.0
1.0,a_fitted_sigma1,draw2,9.9812615,0.32646798002710153,26.678416339793486,-0.07146309501697377,0.714025,1.0
1.0,a_fitted_sigma1,draw3,9.91007,0.32928604376396065,26.851260112142967,-0.07040678525061787,0.71715,1.0
1.0,a_fitted_sigma1,draw4,9.2412436,0.3190097165428178,26.531079499050918,-0.07227193302652393,0.708775,1.0
1.0,a_fitted_sigma1,draw5,9.8768735,0.30632631100091984,27.81206442046491,-0.07439510068618911,0.70165,1.0
1.0,a_fitted_sigma1,draw6,9.878522,0.3103372333053593,27.27705763680698,-0.07223378600636902,0.69775,1.0
1.0,a_fitted_sigma1,draw7,9.684274,0.3239348691302003,29.0431675740674,-0.07236465951512147,0.712625,1.0
1.0,a_fitted_sigma1,draw8,9.406105,0.3046199428132153,27.46637371348828,-0.07401274639718401,0.697225,1.0
1.0,a_fitted_sigma1,draw9,9.871210999999999,0.33671135631502536,27.812016986300005,-0.06975326262971852,0.7127,1.0
1.0,a_fitted_sigma1,draw10,9.527041,0.33413191805040265,26.393412903393152,-0.07014060776507147,0.71185,1.0
1.0,a_fitted_sigma1,draw11,8.966534000000001,0.3163065383533527,28.15391612236209,-0.07397545719698234,0.70695,1.0
1.0,a_fitted_sigma1,draw12,9.93505,0.31695252843377186,28.971813940943363,-0.07284749766867202,0.70975,1.0
1.0,a_fitted_sigma1,draw13,9.869044,0.32784847233964803,27.78613058137387,-0.07139248179669741,0.7175,1.0
1.0,a_fitted_sigma1,draw14,9.9569345,0.3096427971311863,31.977903545198366,-0.0752423849697551,0.70305,1.0
1.0,a_fitted_sigma1,draw15,9.739113,0.3441640858134038,27.475958577076252,-0.0690837873527752,0.724525,1.0
1.0,a_fitted_sigma1,draw16,9.891392,0.3121694569816608,26.010736196903196,-0.07215062205499007,0.70145,1.0
1.0,a_fitted_sigma1,draw17,4.9565779999999995,0.360040237560726,27.85173835598938,-0.07037499276724411,0.712975,0.999925
1.0,a_fitted_sigma1,draw18,9.6505094,0.31100216542896286,26.471451591490787,-0.07246171907975062,0.705525,1.0
1.0,a_fitted_sigma1,draw19,9.653894,0.31987121584577755,27.914051037283,-0.07261692408232627,0.71185,1.0
1.0,a_fitted_matched,draw0,9.806969,0.3229752759742222,29.189675898063005,-0.05588098407832076,0.8063,0.996325
1.0,a_fitted_matched,draw1,9.9631846,0.3204176574254546,27.803001332690865,-0.05825337425452263,0.8168,0.9974
1.0,a_fitted_matched,draw2,9.9812615,0.32646798002710153,26.678416339793486,-0.056570735493005765,0.811825,0.9962
1.0,a_fitted_matched,draw3,9.91007,0.32928604376396065,26.851260112142967,-0.05541752153336684,0.81445,0.995925
1.0,a_fitted_matched,draw4,9.2412436,0.3190097165428178,26.531079499050918,-0.05844042895281018,0.805125,0.997875
1.0,a_fitted_matched,draw5,9.8768735,0.30632631100091984,27.81206442046491,-0.06064648422479193,0.805375,0.998575
1.0,a_fitted_matched,draw6,9.878522,0.3103372333053593,27.27705763680698,-0.05911292734050153,0.796,0.99795
1.0,a_fitted_matched,draw7,9.684274,0.3239348691302003,29.0431675740674,-0.05818500833031046,0.8238,0.9971
1.0,a_fitted_matched,draw8,9.406105,0.3046199428132153,27.46637371348828,-0.06117498438294059,0.79795,0.99885
1.0,a_fitted_matched,draw9,9.871210999999999,0.33671135631502536,27.812016986300005,-0.05330867089096683,0.812925,0.993775
1.0,a_fitted_matched,draw10,9.527041,0.33413191805040265,26.393412903393152,-0.054589960005225,0.80515,0.994875
1.0,a_fitted_matched,draw11,8.966534000000001,0.3163065383533527,28.15391612236209,-0.059438671313352,0.8138,0.998325
1.0,a_fitted_matched,draw12,9.93505,0.31695252843377186,28.971813940943363,-0.05840428730794296,0.818525,0.9977
1.0,a_fitted_matched,draw13,9.869044,0.32784847233964803,27.78613058137387,-0.05556925369646917,0.821525,0.996375
