seed,gain,n,acc,slope,w0,w1,w2,w3,w4,w5,w6,w7
55,1.0,2000,0.8745,-0.0014718741251522414,0.1541156957302635,0.1348634879913339,0.11009703683798047,0.10544122708603117,0.10241805289616612,0.13545175433864368,0.12342015493957505,0.13419259007796075
55,1.2,2000,0.8615,-0.03015080817756652,0.30712131108514024,0.17461102658013034,0.13430775797031275,0.10282220113158369,0.08200688264425057,0.09211308621064059,0.05574419123446943,0.05127354302500666
56,0.8,2000,0.8615,0.04507708181536702,0.03373472634474816,0.01910790338245323,0.03398536469936425,0.05598594008520441,0.11382904059211552,0.12652434189594114,0.26756566920737485,0.34926701366897395
56,1.0,2000,0.8855,0.009809955498129474,0.11242869182998275,0.07561751254705251,0.12230712719569342,0.10176238192783446,0.13118773403417228,0.13020257473789215,0.17472243532113096,0.15177154229277548
56,1.2,2000,0.855,-0.02302205606293734,0.29266065301033894,0.1293820838310487,0.12295306783371698,0.10066064420401982,0.11375650343679038,0.09469470854562902,0.09394243671525722,0.05194990228515517
57,0.8,2000,0.8595,0.04035292782919022,0.00938302150617236,0.051382816280818436,0.030919828874254776,0.10447904231269371,0.10819526279377863,0.15655712593390717,0.22098362863551815,0.3180992735373778
57,1.0,2000,0.8755,0.0018246885714910499,0.14161747298008734,0.10405804363244503,0.11715412612501105,0.12081489042284364,0.11796577505311158,0.12337041643670137,0.13802415662156814,0.13699511862212926
57,1.2,2000,0.8555,-0.03131118982122211,0.30759339591584395,0.173503119336259,0.1215585358877578,0.12253275671225002,0.09973312989236766,0.09250435406156136,0.03876568051158177,0.04380902755001531
58,0.8,2000,0.857,0.026268853919854493,0.05293710571479091,0.07071891794725345,0.09277243491016424,0.11394322997431301,0.07061049627182438,0.1624279560851695,0.14551239170264366,0.29107746723883365
58,1.0,2000,0.8695,-0.00587488123922498,0.1721072241327887,0.14224282868325178,0.11414378205462945,0.11230816093151774,0.11155171543086943,0.11213046026431679,0.10966984969584777,0.12584597866331826
58,1.2,2000,0.856,-0.024659173569416954,0.29513498387461334,0.17437219977599674,0.11009532755865131,0.10406806316886742,0.0728216974925231,0.08125385167070374,0.07578551729846497,0.08646835900273063
59,0.8,2000,0.8525,0.044328221078764024,0.02636971397983,0.022024788844524513,0.04573299882308796,0.07026164508609697,0.09459915244402835,0.14196948413759622,0.24402998328126832,0.355012233284259
59,1.0,2000,0.8745,0.0029629032038986265,0.13429392600074314,0.0933616049445744,0.13479797533118348,0.10662106180949393,0.12187986969710217,0.13256523095802064,0.14408675850207078,0.13239357265386925
59,1.2,2000,0.8615,-0.02602210553250886,0.2874373189913815,0.15210099655807904,0.16485433759752832,0.09668742790618284,0.0706502723311572,0.07515874740961263,0.09497150820456807,0.058139390873607526
60,0.8,2000,0.8555,0.04285443733153085,0.020725203746017502,0.03359360693576945,0.06143705621515095,0.06344973324977268,0.09087127886234571,0.13025151289636488,0.2593744873516108,0.3402971206193275
60,1.0,2000,0.8795,0.010190786230719997,0.12253741094589397,0.07556755708810561,0.11294971050087979,0.10655998471201165,0.09522881389373453,0.15527293699477188,0.17359895178221188,0.15828463398111528
60,1.2,2000,0.8635,-0.018138116445918895,0.23400744472938056,0.16372557154572948,0.11788365939373509,0.12148894319104106,0.09232559429812598,0.08948064199268303,0.11008321129528426,0.07100493342811047
61,0.8,2000,0.8645,0.035848589876237444,0.04563175480156978,0.05082014170882465,0.05984610608441001,0.07617652760952939,0.10945554167807776,0.10935403279974337,0.21900475944429548,0.3297111357604331
61,1.0,2000,0.8765,0.009107322170822784,0.08748898073249739,0.12460490278507184,0.12436067153407221,0.11294187236742945,0.10796151297428266,0.1018948047871811,0.15619519100559603,0.1845520637153992
61,1.2,2000,0.8705,-0.00955921237340006,0.17486279586074485,0.16963878212374742,0.1146641684107525,0.12070264153555471,0.09727607227749377,0.09024297018030497,0.1311690901129738,0.10144347938041126
